prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-ARC,SLOW,3.B.Blue,2026-05-02,3,835.0,876.0,50.63,94.464
CAL.R-ARC,SLOW,3.B.Blue,2026-06-30,3,836.0,883.0,51.791,100.017
CAL.R-ARC,SLOW,3.B.Green,2026-04-07,3,676.0,724.0,58.059,77.374
CAL.R-ARC,SLOW,3.B.Green,2026-05-02,3,676.0,721.0,57.27,74.957
CAL.R-ARC,SLOW,3.B.Green,2026-06-30,3,678.0,728.0,59.407,79.568
CAL.R-ARC,SLOW,3.B.Red,2026-04-07,3,1654.0,1756.0,593.108,3388.302
CAL.R-ARC,SLOW,3.B.Red,2026-05-02,3,1654.0,1752.0,581.651,3323.423
CAL.R-ARC,SLOW,3.B.Red,2026-06-30,3,1656.0,1761.0,603.889,3453.526
CAL.R-ARC,SLOW,4.A.Green,2026-04-07,3,300.0,343.0,37.019,67.469
CAL.R-ARC,SLOW,4.A.Green,2026-05-02,3,300.0,340.0,35.701,64.666
CAL.R-ARC,SLOW,4.A.Green,2026-06-30,3,302.0,348.0,38.586,70.585
CAL.R-ARC,SLOW,4.A.Red,2026-04-07,3,1567.0,1647.0,753.271,2777.311
CAL.R-ARC,SLOW,4.A.Red,2026-05-02,3,1566.0,1643.0,738.65,2698.047
CAL.R-ARC,SLOW,4.A.Red,2026-06-30,3,1567.0,1652.0,773.817,2879.194
CAL.R-ARC,SLOW,4.B.Blue,2026-04-07,3,678.0,713.0,47.554,95.859
CAL.R-ARC,SLOW,4.B.Blue,2026-05-02,3,678.0,710.0,46.482,92.626
CAL.R-ARC,SLOW,4.B.Blue,2026-06-30,3,678.0,715.0,48.709,99.263
CAL.R-ARC,SLOW,4.B.Green,2026-04-07,3,669.0,712.0,68.886,77.162
CAL.R-ARC,SLOW,4.B.Green,2026-05-02,3,669.0,710.0,66.344,74.241
CAL.R-ARC,SLOW,4.B.Green,2026-06-30,3,669.0,715.0,70.485,79.869
